name,location
타나카 군은 항상 나른해 1~13권 완,책장 7-8
먹고 자는 두 사람 함께 사는 두 사람 1~5완,책장 4-2
BLUE GIANT SUPREME 블루 자이언트 슈프림 1~11완,책장 4-2
pinky a gogo 핑키 고고 1~9권(완),책장 8-9
"마스다 미리 시리즈 (지금 이대로 괜찮은 걸까?, 결혼하지 않아도 괜찮을까?, 아무래도 싫은 사람, 수짱의 연애, 주말엔 숲으로)",책장 8-5
다이스키 1~8권(완),책장 8-7
BELIEVE 빌리브 1~7권(완),책장 8-16
세상에서 제일 미워! 1~13권(완),책장 8-5
한지붕 네 식구 1~7권(완),책장 8-9
HEART 하트 1~10권(완),책장 8-5
내 옆의 안경소년 1~2권(완),책장 8-7
포로놀이 1~6권(완),책장 8-4
한눈에 반하다! 1~11권(완),책장 8-18
청춘블라썸 1~12권,1층
단다단 1~14권,1층 키오스크 옆
나와 로보코 1~14권,책장 1-2
애프터갓 1~6권,책장 7-7
슈퍼 뒤에서 담배 피우는 두 사람 1~4권,책장 7-7
학생회에도구멍은있다 1~7권,책장 7-7
달콤하지만은 않은 그들의 일상은 1~7권,책장 8-12
블루 아카이브 코믹 앤솔로지 1~4권,책장 7-7
블루아카이브 흥신소 68 업무일지 1~2권,책장 7-7
카구라바치 1~2권,1층
"후지모토 타츠키 단편집 11-21,22-26",1층
텐무스 1~8권,04월 01일
고스트바둑왕 1~23권(완),책장 1-7
고스트 바둑왕 1~23완,책장 1-7
천지인 1~2권,책장 2-7
블랙잭 1~22권(완),책장 4-7
닥터 노구찌 DR.NOGUCHI 1~17권(완),책장 4-7
요괴 야회담 1~12권,책장 5-3
아이 앰 어 히어로 1~22완,책장 4-5
환생기담 1~9완,책장 5-7
식령 1~12완 +외전,책장 5-7
주작의 활 1~11완,책장 3-3
헬싱 1~10권,책장 5-2
히나마츠리 1~19권,책장 1-5
서머타임 렌더 1~13권(완),책장 5-7
데드 마스크 1~4완,03월 01일
일곱개의 대죄 1~41완,03월 02일
베스티아리우스 1~3완,03월 05일
엠바밍 1~10완,03월 05일
SKT+ (Swallow Knight Tales Plus) 1~10권(완),책장 3-5
고스트 스위퍼 1~39완,03월 05일
시간의 지배자 1~5,03월 06일
스파이패밀리 1~13권,책장 1-3
타이의 대모험 1~37완,03월 06일
비디오걸 1~15완,책장 5-5
격기3반 1~11권,책장 1-2
충사1~10완,03월 02일
복종하지 않는 자 1~6완,책장 5-2
쿠로즈카 1~10완,책장 5-2
데모크라티아 1~5권(완),책장 5-7
say love... 1~11권(완),책장 8-8
도망을 잘치는 도련님 1~14권,책장 6-1
"원룸, 햇볕 보통, 천사 딸림 1~6권",책장 8-12
"전야제 상,하",책장 8-11
유치원wars 1~10권,책장 1-1
동거인 사노군은 그저 유능한 담당편집자일뿐입니다 1~5권,책장 8-11
죠죠의 기묘한 모험 8부 죠죠리온 1~18권,책장 1-5
러버스키스 단편,책장 5-5
베일 veil 1~3권,07월 01일
나와 미모사의 75일 1~2권,책장 7-7
태양과 달의 강철 1~6권,책장 6-2
카난님은 초보 악마 1~6권,책장 7-10
대동경귀가전 1~3권,책장 7-7
이치노세일가의 대죄 1~3권,책장 7-7
뱀피어즈 1~6권,책장 8-12
위치워치 1~14권,책장 1-1
마루는 강쥐 1~5권,책장 7-2
숨을 쉴 수 없는건 네 탓이야 1~4권,책장 8-11
사랑할 수 없는건 네 탓이야 단편,책장 8-11
아기다람쥐가 다 잘해요 1~4권,책장 7-2
과분한 남친 1~8권,책장 8-12
AIRGEAR 에어기어 1~37권(완),책장 2-5
울어라 펜 1~7권,책장 7-7
푸른 상자 1~15권,1층 키오스크 옆
메달리스트 1~10권,책장 2-1
검은 고양이와 마녀의 교실 1~8권,책장 3-3
스물과 성수 1~3권,책장 8-12
오 나의 여신님 신장판 1~14권,책장 7-1
샹그릴라 프론티어 1~17권,03월 03일
파티피플 공명 1~17권,04월 02일
용이 비를 내리는 나라 1부 1~3권,책장 8-11
전주교실 1~4권,책장 6-1
평화로운 나라의 시마자키에게 1~5권,책장 7-7
아카네 이야기 1~8권,책장 4-2
지팡이와 검은위스토리아 1~8권,책장 1-1
어둠의 실력자가 되고 싶어서 1~8권,책장 3-3
버서스 1~3권,책장 7-7
가챠맨 1~3권,책장 7-7
아슬란전기 1~17권,06월 01일
속삭이듯 사랑을 노래하다 1~9권,책장 7-9
매일 휴일 1~7권,책장 7-8
돌격크로마티고교 1~17권(완),책장 2-7
사쿠라 사쿠 1~9권,책장 8-13
너와 잇는 물거품 1~5권,책장 7-9
바니타스의 수기 1~11권,03월 03일
2.5차원의 유혹 1~19권,책장 7-9
PPPPPP 1~8권 (완결),04월 02일
할아버지 할머니 회춘하다 1~7권,책장 7-8
흑무경담 1권,책장 7-7
H 에이치 1~6권(완),책장 8-9
S.L.H stray love hearts 1~5권(완),책장 8-7
금남의 토도로키장 1~7권(완),책장 8-10
에프 F(1~28완),02월 03일
Bartendar 바텐더 1~21완,04월 01일
복원가의 집 1~26권,책장 4-2
내 이야기!! 1~13권,책장 7-9
아이실드21 1~37권 완,책장 2-2
에로망가 선생 1~7권,책장 7-9
"사랑하고 사랑받고, 차고 차이고 1~12권",책장 8-13
친구게임 1~25,책장 5-3
